Municipi,Codi
Abrera,001
Aguilar de Segarra,002
Aiguafreda,014
Alella,003
Alpens,004
"Ametlla del Vallès, L'",005
Arenys de Mar,006
Arenys de Munt,007
Argençola,008
Argentona,009
Artés,010
Avià,011
Avinyó,012
Avinyonet del Penedès,013
Badalona,015
Badia del Vallès,904
Bagà,016
Balenyà,017
Balsareny,018
Barberà del Vallès,252
Barcelona,019
Begues,020
Bellprat,021
Berga,022
Bigues i Riells del Fai,023
Borredà,024
"Bruc, El",025
"Brull, El",026
"Cabanyes, Les",027
Cabrera d'Anoia,028
Cabrera de Mar,029
Cabrils,030
Calaf,031
Calders,034
Caldes de Montbui,033
Caldes d'Estrac,032
Calella,035
Calldetenes,037
Callús,038
Calonge de Segarra,036
Campins,039
Canet de Mar,040
Canovelles,041
Cànoves i Samalús,042
Canyelles,043
Capellades,044
Capolat,045
Cardedeu,046
Cardona,047
Carme,048
Casserres,049
Castell de l'Areny,057
Castellar de n'Hug,052
Castellar del Riu,050
Castellar del Vallès,051
Castellbell i el Vilar,053
Castellbisbal,054
Castellcir,055
Castelldefels,056
Castellet i la Gornal,058
Castellfollit de Riubregós,060
Castellfollit del Boix,059
Castellgalí,061
Castellnou de Bages,062
Castellolí,063
Castellterçol,064
Castellví de la Marca,065
Castellví de Rosanes,066
Centelles,067
Cercs,268
Cerdanyola del Vallès,266
Cervelló,068
Collbató,069
Collsuspina,070
Copons,071
Corbera de Llobregat,072
Cornellà de Llobregat,073
Cubelles,074
Dosrius,075
Esparreguera,076
Esplugues de Llobregat,077
"Espunyola, L'",078
"Esquirol, L'",254
"Estany, L'",079
Figaró-Montmany,134
Fígols,080
Fogars de la Selva,082
Fogars de Montclús,081
Folgueroles,083
Fonollosa,084
Font-rubí,085
"Franqueses del Vallès, Les",086
Gaià,090
Gallifa,087
"Garriga, La",088
Gavà,089
Gelida,091
Gironella,092
Gisclareny,093
"Granada, La",094
Granera,095
Granollers,096
Gualba,097
Guardiola de Berguedà,099
Gurb,100
"Hospitalet de Llobregat, L'",101
"Hostalets de Pierola, Els",162
Igualada,102
Jorba,103
"Llacuna, La",104
"Llagosta, La",105
Lliçà d'Amunt,107
Lliçà de Vall,108
Llinars del Vallès,106
Lluçà,109
Malgrat de Mar,110
Malla,111
Manlleu,112
Manresa,113
Marganell,242
Martorell,114
Martorelles,115
"Masies de Roda, Les",116
"Masies de Voltregà, Les",117
"Masnou, El",118
Masquefa,119
Matadepera,120
Mataró,121
Mediona,122
Moià,138
Molins de Rei,123
Mollet del Vallès,124
Monistrol de Calders,128
Monistrol de Montserrat,127
Montcada i Reixac,125
Montclar,130
Montesquiu,131
Montgat,126
Montmajor,132
Montmaneu,133
Montmeló,135
Montornès del Vallès,136
Montseny,137
Muntanyola,129
Mura,139
Navarcles,140
Navàs,141
"Nou de Berguedà, La",142
Òdena,143
Olèrdola,145
Olesa de Bonesvalls,146
Olesa de Montserrat,147
Olivella,148
Olost,149
Olvan,144
Orís,150
Oristà,151
Orpí,152
Òrrius,153
Pacs del Penedès,154
Palafolls,155
Palau-solità i Plegamans,156
Pallejà,157
"Palma de Cervelló, La",905
"Papiol, El",158
Parets del Vallès,159
Perafita,160
Piera,161
Pineda de Mar,163
"Pla del Penedès, El",164
"Pobla de Claramunt, La",165
"Pobla de Lillet, La",166
Polinyà,167
"Pont de Vilomara i Rocafort, El",182
Pontons,168
"Prat de Llobregat, El",169
Prats de Lluçanès,171
"Prats de Rei, Els",170
Premià de Dalt,230
Premià de Mar,172
Puigdàlber,174
Puig-reig,175
Pujalt,176
"Quar, La",177
Rajadell,178
Rellinars,179
Ripollet,180
"Roca del Vallès, La",181
Roda de Ter,183
Rubí,184
Rubió,185
Rupit i Pruit,901
Sabadell,187
Sagàs,188
Saldes,190
Sallent,191
Sant Adrià de Besòs,194
Sant Agustí de Lluçanès,195
Sant Andreu de la Barca,196
Sant Andreu de Llavaneres,197
Sant Antoni de Vilamajor,198
Sant Bartomeu del Grau,199
Sant Boi de Llobregat,200
Sant Boi de Lluçanès,201
Sant Cebrià de Vallalta,203
Sant Celoni,202
Sant Climent de Llobregat,204
Sant Cugat del Vallès,205
Sant Cugat Sesgarrigues,206
Sant Esteve de Palautordera,207
Sant Esteve Sesrovires,208
Sant Feliu de Codines,210
Sant Feliu de Llobregat,211
Sant Feliu Sasserra,212
Sant Fost de Campsentelles,209
Sant Fruitós de Bages,213
Sant Hipòlit de Voltregà,215
Sant Iscle de Vallalta,193
Sant Jaume de Frontanyà,216
Sant Joan de Vilatorrada,218
Sant Joan Despí,217
Sant Julià de Cerdanyola,903
Sant Julià de Vilatorta,220
Sant Just Desvern,221
Sant Llorenç d'Hortons,222
Sant Llorenç Savall,223
Sant Martí d'Albars,225
Sant Martí de Centelles,224
Sant Martí de Tous,226
Sant Martí Sarroca,227
Sant Martí Sesgueioles,228
Sant Mateu de Bages,229
Sant Pere de Ribes,231
Sant Pere de Riudebitlles,232
Sant Pere de Torelló,233
Sant Pere de Vilamajor,234
Sant Pere Sallavinera,189
Sant Pol de Mar,235
Sant Quintí de Mediona,236
Sant Quirze de Besora,237
Sant Quirze del Vallès,238
Sant Quirze Safaja,239
Sant Sadurní d'Anoia,240
Sant Sadurní d'Osormort,241
Sant Salvador de Guardiola,098
Sant Vicenç de Castellet,262
Sant Vicenç de Montalt,264
Sant Vicenç de Torelló,265
Sant Vicenç dels Horts,263
Santa Cecília de Voltregà,243
Santa Coloma de Cervelló,244
Santa Coloma de Gramenet,245
Santa Eugènia de Berga,246
Santa Eulàlia de Riuprimer,247
Santa Eulàlia de Ronçana,248
Santa Fe del Penedès,249
Santa Margarida de Montbui,250
Santa Margarida i els Monjos,251
Santa Maria de Besora,253
Santa Maria de Martorelles,256
Santa Maria de Merlès,255
Santa Maria de Miralles,257
Santa Maria de Palautordera,259
Santa Maria d'Oló,258
Santa Perpètua de Mogoda,260
Santa Susanna,261
Santpedor,192
Sentmenat,267
Seva,269
Sitges,270
Sobremunt,271
Sora,272
Subirats,273
Súria,274
Tagamanent,276
Talamanca,277
Taradell,278
Tavèrnoles,275
Tavertet,280
Teià,281
Terrassa,279
Tiana,282
Tona,283
Tordera,284
Torelló,285
"Torre de Claramunt, La",286
Torrelavit,287
Torrelles de Foix,288
Torrelles de Llobregat,289
Ullastrell,290
Vacarisses,291
Vallbona d'Anoia,292
Vallcebre,293
Vallgorguina,294
Vallirana,295
Vallromanes,296
Veciana,297
Vic,298
Vilada,299
Viladecans,301
Viladecavalls,300
Vilafranca del Penedès,305
Vilalba Sasserra,306
Vilanova de Sau,303
Vilanova del Camí,302
Vilanova del Vallès,902
Vilanova i la Geltrú,307
Vilassar de Dalt,214
Vilassar de Mar,219
Vilobí del Penedès,304
Viver i Serrateix,308
